comb7_str_key,comb5_name,comb5_nn,comb5_str_key
"2,5,7,8,10,11,13_2,5,7,8,13",FLUSH,6346,"2,5,7,8,13_fl"
"2,4,5,7,8,10,13_4,5,7,8,10",FLUSH,5945,"4,5,7,8,10_fl"
"3,7,8,8,11,12,14_7,8,11,12,14",FLUSH,6960,"7,8,11,12,14_fl"
"2,2,4,6,7,12,14_4,6,7,12,14",FLUSH,6874,"4,6,7,12,14_fl"
"2,4,6,11,12,13,14_2,4,6,11,12,13",FLUSH,6620,"4,6,11,12,13_fl"
"2,5,6,8,10,12,13_5,8,10,12,13",FLUSH,6602,"5,8,10,12,13_fl"
"2,4,5,7,8,11,13_2,4,5,7,11",FLUSH,5991,"2,4,5,7,11_fl"
"7,7,9,9,11,11,11_unfl",FULL_HOUSE,7255,"9,9,11,11,11_unfl"
"2,3,3,4,7,9,11_2,3,4,7,9,11",FLUSH,6031,"3,4,7,9,11_fl"
"5,7,8,8,9,10,11_7,8,9,10,11",STRAIGHT_FLUSH,7458,"7,8,9,10,11_fl"
"6,7,8,8,9,12,13_6,8,9,12,13",FLUSH,6582,"6,8,9,12,13_fl"
"3,11,11,11,11,12,13_unfl",FOUR_OF_KIND,7414,"11,11,11,11,13_unfl"
"4,6,6,6,12,12,13_unfl",FULL_HOUSE,7197,"6,6,6,12,12_unfl"
"3,5,6,7,11,11,14_3,5,7,11,14",FLUSH,6786,"3,5,7,11,14_fl"
"4,6,8,9,12,12,14_4,6,8,12,14",FLUSH,6884,"4,6,8,12,14_fl"
"5,7,8,9,10,11,12_5,7,8,11,12",FLUSH,6268,"5,7,8,11,12_fl"
"2,5,6,7,10,11,13_2,5,7,10,11,13",FLUSH,6513,"5,7,10,11,13_fl"
